역번호,역사명,노선명,환승역구분,환승노선명
0124,청량리(서울시립대입구),1호선,도시철도 환승역,수도권  광역철도 분당+수도권  광역철도 경춘+수도권  광역철도 경의중앙
0125,제기동,1호선,도시철도 일반역,
0126,신설동,1호선,도시철도 환승역,수도권  도시철도 2호선
0127,동묘앞,1호선,도시철도 환승역,수도권  도시철도 6호선
0128,동대문,1호선,도시철도 환승역,수도권  광역철도 4호선
0129,종로5가,1호선,도시철도 일반역,
0130,종로3가,1호선,도시철도 환승역,수도권  광역철도 3호선+수도권  도시철도 5호선
0131,종각,1호선,도시철도 일반역,
0132,시청,1호선,도시철도 환승역,수도권  도시철도 2호선
0133,서울역,1호선,도시철도 환승역,수도권  광역철도 4호선+수도권  광역철도 경의중앙+수도권  광역철도 공항
0201,시청,2호선,도시철도 환승역,수도권  광역철도 1호선
0202,을지로입구,2호선,도시철도 일반역,
0203,을지로3가,2호선,도시철도 환승역,수도권  광역철도 3호선
0204,을지로4가,2호선,도시철도 환승역,수도권  도시철도 5호선
0205,동대문역사문화공원(DDP),2호선,도시철도 환승역,수도권  광역철도 4호선+수도권  도시철도 5호선
0206,신당,2호선,도시철도 환승역,수도권  도시철도 6호선
0207,상왕십리,2호선,도시철도 일반역,
0208,왕십리(성동구청),2호선,도시철도 환승역,수도권  도시철도 5호선+수도권 광역철도 분당+수도권 광역철도 경의중앙
0209,한양대,2호선,도시철도 일반역,
0210,뚝섬,2호선,도시철도 일반역,
0211,성수,2호선,도시철도 일반역,
0212,건대입구,2호선,도시철도 환승역,수도권  도시철도 7호선
0213,구의(광진구청),2호선,도시철도 일반역,
0214,강변(동서울터미널),2호선,도시철도 일반역,
0215,잠실나루,2호선,도시철도 일반역,
0216,잠실(송파구청),2호선,도시철도 환승역,수도권  도시철도 8호선
0217,잠실새내,2호선,도시철도 일반역,
0218,종합운동장,2호선,도시철도 환승역,수도권  도시철도 9호선
0219,삼성(무역센터),2호선,도시철도 일반역,
0220,선릉,2호선,도시철도 환승역,수도권  광역철도 분당
0221,역삼,2호선,도시철도 일반역,
0222,강남,2호선,도시철도 환승역,수도권  광역철도 신분당선
0223,교대(법원·검찰청),2호선,도시철도 환승역,수도권  광역철도 3호선
0224,서초,2호선,도시철도 일반역,
0225,방배,2호선,도시철도 일반역,
0226,사당,2호선,도시철도 환승역,수도권  광역철도 4호선
0227,낙성대(강감찬),2호선,도시철도 일반역,
0228,서울대입구(관악구청),2호선,도시철도 일반역,
0229,봉천,2호선,도시철도 일반역,
0230,신림,2호선,도시철도 일반역,
0231,신대방,2호선,도시철도 일반역,
0232,구로디지털단지,2호선,도시철도 일반역,
0233,대림(구로구청),2호선,도시철도 환승역,수도권  도시철도 7호선
0234,신도림,2호선,도시철도 환승역,수도권  광역철도 1호선+수도권 도시철도 2호선
0235,문래,2호선,도시철도 일반역,
0236,영등포구청,2호선,도시철도 환승역,수도권  도시철도 5호선
0237,당산,2호선,도시철도 환승역,수도권  도시철도 9호선
0238,합정,2호선,도시철도 환승역,수도권  도시철도 6호선
0239,홍대입구,2호선,도시철도 환승역,수도권  광역철도 공항+수도권 광역철도 경의중앙
0240,신촌(지하),2호선,도시철도 일반역,
0241,이대,2호선,도시철도 일반역,
0242,아현,2호선,도시철도 일반역,
0243,충정로(경기대입구),2호선,도시철도 환승역,수도권  도시철도 5호선
2111,용답,2호선,도시철도 일반역,
2112,신답,2호선,도시철도 일반역,
2113,용두(동대문구청),2호선,도시철도 일반역,
2114,신설동,2호선,도시철도 일반역,수도권  도시철도 2호선
2341,도림천,2호선,도시철도 일반역,
2342,양천구청,2호선,도시철도 일반역,
2343,신정네거리,2호선,도시철도 일반역,
0319,지축,3호선,도시철도 일반역,
0320,구파발,3호선,도시철도 일반역,
0321,연신내,3호선,도시철도 환승역,수도권  도시철도 6호선
0322,불광,3호선,도시철도 환승역,수도권  도시철도 6호선
0323,녹번,3호선,도시철도 일반역,
0324,홍제,3호선,도시철도 일반역,
0325,무악재,3호선,도시철도 일반역,
0326,독립문,3호선,도시철도 일반역,
0327,경복궁(정부서울청사),3호선,도시철도 일반역,
0328,안국,3호선,도시철도 일반역,
0329,종로3가,3호선,도시철도 환승역,수도권  도시철도 5호선+수도권 광역철도 1호선
0330,을지로3가,3호선,도시철도 환승역,수도권  도시철도 2호선
0331,충무로,3호선,도시철도 환승역,수도권  광역철도 4호선
0332,동대입구,3호선,도시철도 일반역,
0333,약수,3호선,도시철도 환승역,수도권  도시철도 6호선
0334,금호,3호선,도시철도 일반역,
0335,옥수,3호선,도시철도 환승역,수도권  광역철도 경의중앙
0336,압구정,3호선,도시철도 일반역,
0337,신사,3호선,도시철도 일반역,
0338,잠원,3호선,도시철도 일반역,
