역번호,역사명,노선명,환승역구분,환승노선명
0339,고속터미널,3호선,도시철도 환승역,수도권  도시철도 7호선+수도권  도시철도 9호선
0340,교대(법원·검찰청),3호선,도시철도 환승역,수도권  도시철도 2호선
0341,남부터미널(예술의전당),3호선,도시철도 일반역,
0342,양재(서초구청),3호선,도시철도 환승역,수도권  광역철도 신분당선
0343,매봉,3호선,도시철도 일반역,
0344,도곡,3호선,도시철도 환승역,수도권  광역철도 분당
0345,대치,3호선,도시철도 일반역,
0346,학여울,3호선,도시철도 일반역,
0347,대청,3호선,도시철도 일반역,
0348,일원,3호선,도시철도 일반역,
0349,수서,3호선,도시철도 환승역,수도권  광역철도 분당
0350,가락시장,3호선,도시철도 환승역,수도권  도시철도 8호선
0351,경찰병원,3호선,도시철도 일반역,
0352,오금,3호선,도시철도 환승역,수도권  도시철도 5호선
0409,당고개,4호선,도시철도 일반역,
0410,상계,4호선,도시철도 일반역,
0411,노원,4호선,도시철도 환승역,수도권  도시철도 7호선
0412,창동,4호선,도시철도 환승역,수도권  광역철도 1호선
0413,쌍문,4호선,도시철도 일반역,
0414,수유(강북구청),4호선,도시철도 일반역,
0415,미아(서울사이버대학),4호선,도시철도 일반역,
0416,미아사거리,4호선,도시철도 일반역,
0417,길음,4호선,도시철도 일반역,
0418,성신여대입구(돈암),4호선,도시철도 일반역,수도권  광역철도 4호선
0419,한성대입구(삼선교),4호선,도시철도 일반역,
0420,혜화,4호선,도시철도 일반역,
0421,동대문,4호선,도시철도 환승역,수도권  광역철도 1호선
0422,동대문역사문화공원(DDP),4호선,도시철도 환승역,수도권  도시철도 2호선+수도권  도시철도 5호선
0423,충무로,4호선,도시철도 환승역,수도권  광역철도 3호선
0424,명동,4호선,도시철도 일반역,
0425,회현(남대문시장),4호선,도시철도 일반역,
0426,서울역,4호선,도시철도 환승역,수도권  광역철도 1호선+수도권 광역철도 경의중앙+수도권 광역철도 공항
0427,숙대입구(갈월),4호선,도시철도 일반역,
0428,삼각지,4호선,도시철도 환승역,수도권  도시철도 6호선
0429,신용산,4호선,도시철도 일반역,
0430,이촌(국립중앙박물관),4호선,도시철도 환승역,수도권  광역철도 경의중앙
0431,동작(현충원),4호선,도시철도 환승역,수도권  도시철도 9호선
0432,총신대입구(이수),4호선,도시철도 환승역,수도권  도시철도 7호선
0433,사당,4호선,도시철도 환승역,수도권  도시철도 2호선
0434,남태령,4호선,도시철도 일반역,
0510,방화,5호선,도시철도 일반역,
0511,개화산,5호선,도시철도 일반역,
0512,김포공항,5호선,도시철도 환승역,수도권 도시철도 9호선+수도권 광역철도 공항+김포도시철도+서해선
0513,송정,5호선,도시철도 일반역,
0514,마곡,5호선,도시철도 일반역,
0515,발산,5호선,도시철도 일반역,
0516,우장산,5호선,도시철도 일반역,
0517,화곡,5호선,도시철도 일반역,
0518,까치산,5호선,도시철도 환승역,수도권  도시철도 2호선
0519,신정(은행정),5호선,도시철도 일반역,
0520,목동,5호선,도시철도 일반역,
0521,오목교(목동운동장앞),5호선,도시철도 일반역,
0522,양평,5호선,도시철도 일반역,
0523,영등포구청,5호선,도시철도 환승역,수도권  도시철도 2호선
0524,영등포시장,5호선,도시철도 일반역,
0525,신길,5호선,도시철도 환승역,수도권  광역철도 1호선
0526,여의도,5호선,도시철도 환승역,수도권  도시철도 9호선
0527,여의나루,5호선,도시철도 일반역,
0528,마포,5호선,도시철도 일반역,
0529,공덕,5호선,도시철도 환승역,수도권  도시철도 6호선
0530,애오개,5호선,도시철도 일반역,
0531,충정로(경기대입구),5호선,도시철도 환승역,수도권  도시철도 2호선
0532,서대문,5호선,도시철도 일반역,
0533,광화문(세종문화회관),5호선,도시철도 일반역,
0534,종로3가(탑골공원),5호선,도시철도 환승역,수도권  광역철도 3호선+수도권 광역철도 1호선
0535,을지로4가,5호선,도시철도 환승역,수도권  도시철도 2호선
0536,동대문역사문화공원(DDP),5호선,도시철도 환승역,수도권  도시철도 2호선+수도권 광역철도 4호선
0537,청구,5호선,도시철도 환승역,수도권  도시철도 6호선
0538,신금호,5호선,도시철도 일반역,
0539,행당,5호선,도시철도 일반역,
0540,왕십리(성동구청),5호선,도시철도 환승역,수도권  도시철도 2호선+수도권 광역철도 분당+수도권 광역철도 경의중앙
0541,마장,5호선,도시철도 일반역,
0542,답십리,5호선,도시철도 일반역,
0543,장한평,5호선,도시철도 일반역,
0544,군자(능동),5호선,도시철도 환승역,수도권  도시철도 7호선
0545,아차산(어린이대공원후문),5호선,도시철도 일반역,
0546,광나루(장신대),5호선,도시철도 일반역,
0547,천호(풍납토성),5호선,도시철도 환승역,수도권  도시철도 8호선
0548,강동,5호선,도시철도 일반역,
0549,길동,5호선,도시철도 일반역,
0550,굽은다리(강동구민회관앞),5호선,도시철도 일반역,
0551,명일,5호선,도시철도 일반역,
0552,고덕,5호선,도시철도 일반역,
0553,상일동,5호선,도시철도 일반역,
P549,둔촌동,5호선,도시철도 일반역,
P550,올림픽공원(한국체대),5호선,도시철도 일반역,
P551,방이,5호선,도시철도 일반역,
P552,오금,5호선,도시철도 환승역,수도권  광역철도 3호선
P553,개롱,5호선,도시철도 일반역,
P554,거여,5호선,도시철도 일반역,
0554,강일,5호선,도시철도 일반역,
0555,미사,5호선,도시철도 일반역,
0556,하남풍산,5호선,도시철도 일반역,
0557,하남시청(덕풍∙신장),5호선,도시철도 일반역,
0558,하남검단산,5호선,도시철도 일반역,
P555,마천,5호선,도시철도 일반역,
0610,응암,6호선,도시철도 일반역,
0611,역촌,6호선,도시철도 일반역,
0612,불광,6호선,도시철도 환승역,수도권  광역철도 3호선
0613,독바위,6호선,도시철도 일반역,
0614,연신내,6호선,도시철도 환승역,수도권  광역철도 3호선
0615,구산,6호선,도시철도 일반역,
0616,새절(신사),6호선,도시철도 일반역,
0617,증산(명지대앞),6호선,도시철도 일반역,
0618,디지털미디어시티,6호선,도시철도 환승역,수도권  광역철도 경의중앙+수도권 광역철도 공항
0619,월드컵경기장(성산),6호선,도시철도 일반역,
0620,마포구청,6호선,도시철도 일반역,
0621,망원,6호선,도시철도 일반역,
0622,합정,6호선,도시철도 환승역,수도권  도시철도 2호선
0623,상수,6호선,도시철도 일반역,
0624,광흥창(서강),6호선,도시철도 일반역,
0625,대흥(서강대앞),6호선,도시철도 일반역,
0626,공덕,6호선,도시철도 환승역,수도권  도시철도 5호선
0627,효창공원앞,6호선,도시철도 환승역,수도권  광역철도 경의중앙
0628,삼각지,6호선,도시철도 환승역,수도권  광역철도 4호선
0629,녹사평(용산구청),6호선,도시철도 일반역,
0630,이태원,6호선,도시철도 일반역,
0631,한강진,6호선,도시철도 일반역,
0632,버티고개,6호선,도시철도 일반역,
0633,약수,6호선,도시철도 환승역,수도권  광역철도 3호선
0634,청구,6호선,도시철도 환승역,수도권  도시철도 5호선
0635,신당,6호선,도시철도 환승역,수도권  도시철도 2호선
0636,동묘앞,6호선,도시철도 환승역,수도권  광역철도 1호선
0637,창신,6호선,도시철도 일반역,
0638,보문,6호선,도시철도 일반역,수도권  도시철도 6호선
0639,안암(고대병원앞),6호선,도시철도 일반역,
0640,고려대(종암),6호선,도시철도 일반역,
0641,월곡(동덕여대),6호선,도시철도 일반역,
0642,상월곡(한국과학기술연구원),6호선,도시철도 일반역,
0643,돌곶이,6호선,도시철도 일반역,
0644,석계,6호선,도시철도 환승역,수도권  광역철도 1호선
0645,태릉입구,6호선,도시철도 환승역,수도권  도시철도 7호선
0646,화랑대(서울여대입구),6호선,도시철도 일반역,
0647,봉화산(서울의료원),6호선,도시철도 일반역,
0648,신내,6호선,도시철도 일반역,
0709,장암,7호선,도시철도 일반역,
0710,도봉산,7호선,도시철도 환승역,수도권  광역철도 1호선
0711,수락산,7호선,도시철도 일반역,
0712,마들,7호선,도시철도 일반역,
0713,노원,7호선,도시철도 환승역,수도권  광역철도 4호선
0714,중계,7호선,도시철도 일반역,
0715,하계,7호선,도시철도 일반역,
0716,공릉(서울과학기술대),7호선,도시철도 일반역,
0717,태릉입구,7호선,도시철도 환승역,수도권  도시철도 6호선
0718,먹골,7호선,도시철도 일반역,
0719,중화,7호선,도시철도 일반역,
0720,상봉,7호선,도시철도 환승역,수도권  광역철도 경춘+수도권 광역철도 경의중앙
0721,면목,7호선,도시철도 일반역,
0722,사가정,7호선,도시철도 일반역,
0723,용마산(용마폭포공원),7호선,도시철도 일반역,
0724,중곡,7호선,도시철도 일반역,
0725,군자(능동),7호선,도시철도 환승역,수도권  도시철도 5호선
0726,어린이대공원(세종대),7호선,도시철도 일반역,
0727,건대입구,7호선,도시철도 환승역,수도권  도시철도 2호선
0728,자양(뚝섬한강공원),7호선,도시철도 일반역,
0729,청담,7호선,도시철도 일반역,
0730,강남구청,7호선,도시철도 환승역,수도권  광역철도 분당
0731,학동,7호선,도시철도 일반역,
0732,논현,7호선,도시철도 일반역,
0733,반포,7호선,도시철도 일반역,
0734,고속터미널,7호선,도시철도 환승역,수도권  광역철도 3호선+수도권 도시철도 9호선
0735,내방,7호선,도시철도 일반역,
0736,총신대입구(이수),7호선,도시철도 환승역,수도권  광역철도 4호선
0737,남성,7호선,도시철도 일반역,
0738,숭실대입구(살피재),7호선,도시철도 일반역,
0739,상도,7호선,도시철도 일반역,
0740,장승배기,7호선,도시철도 일반역,
0741,신대방삼거리,7호선,도시철도 일반역,
0742,보라매,7호선,도시철도 일반역,
0743,신풍,7호선,도시철도 일반역,
0744,대림(구로구청),7호선,도시철도 환승역,수도권  도시철도 2호선
0745,남구로,7호선,도시철도 일반역,
0746,가산디지털단지,7호선,도시철도 환승역,수도권  광역철도 1호선
0747,철산,7호선,도시철도 일반역,
0748,광명사거리,7호선,도시철도 일반역,
0749,천왕,7호선,도시철도 일반역,
0750,온수(성공회대입구),7호선,도시철도 환승역,수도권  광역철도 1호선
0809,암사역사공원,8호선,도시철도 일반역,
0810,암사,8호선,도시철도 일반역,
0811,천호(풍납토성),8호선,도시철도 환승역,수도권  도시철도 5호선
0812,강동구청,8호선,도시철도 일반역,
0813,몽촌토성(평화의문),8호선,도시철도 일반역,
0814,잠실(송파구청),8호선,도시철도 환승역,수도권  도시철도 2호선
0815,석촌,8호선,도시철도 일반역,
0816,송파,8호선,도시철도 일반역,
0817,가락시장,8호선,도시철도 환승역,수도권  광역철도 3호선
0818,문정,8호선,도시철도 일반역,
0819,장지,8호선,도시철도 일반역,
0820,복정,8호선,도시철도 환승역,수도권  광역철도 분당
0821,남위례,8호선,도시철도 일반역,
0822,산성,8호선,도시철도 일반역,
0823,남한산성입구(성남법원·검찰청),8호선,도시철도 일반역,
0824,단대오거리,8호선,도시철도 일반역,
0825,신흥,8호선,도시철도 일반역,
0826,수진,8호선,도시철도 일반역,
0827,모란,8호선,도시철도 환승역,수도권  광역철도 분당
0805,다산역,수도권 광역철도 8호선,일반역,
0804,별내역,수도권 광역철도 8호선,경춘선 별내역,수도권 전절 경춘선
1501,판교역,경강선,환승역,신분당선
1502,이매역,경강선,환승역,분당선
1503,삼동역,경강선,일반역,
1504,경기광주역,경강선,일반역,
1505,초월역,경강선,일반역,
1506,곤지암역,경강선,일반역,
1507,신둔도예촌역,경강선,일반역,
1508,이천역,경강선,일반역,
1509,부발역,경강선,일반역,
1510,세종대왕릉역,경강선,일반역,
1511,여주역,경강선,일반역,
1512,성남역,경강선,일반역,
1713,수원역,경부선,환승역,분당선
1715,세류역,경부선,일반역,
1716,병점역,경부선,일반역,
1749,서동탄역,경부선,일반역,
1717,세마역,경부선,일반역,
1718,오산대역,경부선,일반역,
1719,오산역,경부선,일반역,
1720,진위역,경부선,일반역,
1721,송탄역,경부선,일반역,
1723,평택지제역,경부선,일반역,
1722,서정리역,경부선,일반역,
1724,평택역,경부선,일반역,
1707,명학역,경부선,일반역,
1725,성환역,경부선,일반역,
1726,직산역,경부선,일반역,
1727,두정역,경부선,일반역,
1728,천안역,경부선,일반역,
1401,봉명역,경부선,일반역,
1402,쌍용(나사렛대)역,경부선,일반역,
1403,아산역,경부선,일반역,
1404,탕정역,경부선,일반역,
1405,배방역,경부선,일반역,
1407,온양온천역,경부선,일반역,
1408,신창(순천향대)역,경부선,일반역,
1750,광명역,경부선,일반역,
1704,석수역,경부선,일반역,
1705,관악역,경부선,일반역,
1706,안양역,경부선,일반역,
1002,남영역,경부선,일반역,
1003,용산역,경부선,환승역,경의중앙선
1004,노량진역,경부선,환승역,9호선
1005,대방역,경부선,일반역,
1032,신길역,경부선,환승역,5호선
1006,영등포역,경부선,일반역,
1007,신도림역,경부선,환승역,2호선
1701,구로역,경부선,일반역,
1702,가산디지털단지역,경부선,환승역,7호선
1714,독산역,경부선,일반역,
1703,금천구청역,경부선,일반역,
1708,금정역,경부선,환승역,4호선
1709,군포역,경부선,일반역,
1729,당정역,경부선,일반역,
1710,의왕역,경부선,일반역,
1711,성균관대역,경부선,일반역,
1712,화서역,경부선,일반역,
1015,회기역,경원선,환승역,"경의중앙선, 경춘선"
1016,외대앞역,경원선,일반역,
1017,신이문역,경원선,일반역,
1018,석계역,경원선,환승역,6호선
1019,광운대역,경원선,일반역,
1020,월계역,경원선,일반역,
1021,녹천역,경원선,일반역,
1022,창동역,경원선,환승역,4호선
1901,방학역,경원선,일반역,
1902,도봉역,경원선,일반역,
1903,도봉산역,경원선,환승역,7호선
1904,망월사역,경원선,일반역,
1905,회룡역,경원선,환승역,의정부경전철
1906,의정부역,경원선,일반역,
1907,가능역,경원선,일반역,
1908,녹양역,경원선,일반역,
1909,양주역,경원선,일반역,
1910,덕계역,경원선,일반역,
1911,덕정역,경원선,일반역,
1912,지행역,경원선,일반역,
1913,동두천중앙역,경원선,일반역,
1914,보산역,경원선,일반역,
1915,동두천역,경원선,일반역,
1916,소요산역,경원선,일반역,
1917,청산역,경원선,일반역,
1918,전곡역,경원선,일반역,
1919,연천역,경원선,일반역,
1285,임진강역,경의중앙선,일반역,
1286,운천역,경의중앙선,일반역,
1251,서울역(경의선),경의중앙선,환승역,"1호선, 4호선"
1252,신촌역,경의중앙선,일반역,
1265,가좌역,경의중앙선,환승역,
1003,용산역,경의중앙선,환승역,경부선
1261,효창공원앞역,경의중앙선,환승역,6호선
1262,공덕역,경의중앙선,환승역,"5호선, 6호선, 공항"
1263,서강대역,경의중앙선,일반역,
239,홍대입구역,경의중앙선,환승역,"2호선, 공항"
1266,디지털미디어시티역,경의중앙선,환승역,"6호선, 공항"
1267,수색역,경의중앙선,일반역,
1268,한국항공대,경의중앙선,일반역,
1269,강매역,경의중앙선,일반역,
1270,행신역,경의중앙선,일반역,
1271,능곡역,경의중앙선,일반역,서해선
1272,곡산역,경의중앙선,일반역,서해선
1273,백마역,경의중앙선,일반역,서해선
1274,풍산역,경의중앙선,일반역,서해선
1275,일산역,경의중앙선,일반역,서해선
1276,탄현역,경의중앙선,일반역,
1277,야당역,경의중앙선,일반역,
1013,왕십리역,경의중앙선,환승역,"2호선, 5호선, 분당선"
1014,청량리역,경의중앙선,환승역,"1호선, 경춘선, 분당선"
1015,회기역,경의중앙선,환승역,"경원선, 경춘선"
1201,중랑역,경의중앙선,환승역,경춘선
1202,상봉역,경의중앙선,환승역,"7호선, 경춘선"
1203,망우역,경의중앙선,환승역,경춘선
1204,양원역,경의중앙선,일반역,
1220,지평역,경의중앙선,일반역,
1205,구리역,경의중앙선,일반역,
1206,도농역,경의중앙선,일반역,
1207,양정역,경의중앙선,일반역,
1208,덕소역,경의중앙선,일반역,
1209,도심역,경의중앙선,일반역,
1210,팔당역,경의중앙선,일반역,
1211,운길산역,경의중앙선,일반역,
1212,양수역,경의중앙선,일반역,
1213,신원역,경의중앙선,일반역,
1214,국수역,경의중앙선,일반역,
1215,아신역,경의중앙선,일반역,
1216,오빈역,경의중앙선,일반역,
1217,양평역,경의중앙선,일반역,
1218,원덕역,경의중앙선,일반역,
1219,용문역,경의중앙선,일반역,
1278,운정역,경의중앙선,일반역,
1279,금릉역,경의중앙선,일반역,
1280,금촌역,경의중앙선,일반역,
1282,월롱역,경의중앙선,일반역,
1283,파주역,경의중앙선,일반역,
1284,문산역,경의중앙선,일반역,
1953,대곡역,경의중앙선,환승역,"일산선, 서해선"
1008,이촌역,경의중앙선,환승역,4호선
1009,서빙고역,경의중앙선,일반역,
1010,한남역,경의중앙선,일반역,
1011,옥수역,경의중앙선,환승역,3호선
1012,응봉역,경의중앙선,일반역,
1813,구일역,경인선,일반역,
1801,개봉역,경인선,일반역,
1802,오류동역,경인선,일반역,
1821,온수역,경인선,환승역,7호선
1803,역곡역,경인선,일반역,
1814,소사역,경인선,환승역,서해선
1804,부천역,경인선,일반역,
1822,중동역,경인선,일반역,
1805,송내역,경인선,일반역,
1815,부개역,경인선,일반역,
1806,부평역,경인선,환승역,인천1호선
1807,백운역,경인선,일반역,
1808,동암역,경인선,일반역,
1816,간석역,경인선,일반역,
1809,주안역,경인선,환승역,인천2호선
1823,도화역,경인선,일반역,
1810,제물포역,경인선,일반역,
1817,도원역,경인선,일반역,
1811,동인천역,경인선,일반역,
1812,인천역,경인선,환승역,수인분당선
1015,회기역,경춘선,환승역,"경의중앙선, 경원선"
1014,청량리역,경춘선,환승역,"1호선, 경의중앙선, 분당선"
1201,중랑역,경춘선,환승역,경의중앙선
1202,상봉역,경춘선,환승역,"7호선, 경의중앙선"
1203,망우역,경춘선,환승역,경의중앙선
1311,신내역,경춘선,일반역,
1312,갈매역,경춘선,일반역,
1313,별내역,경춘선,일반역,
1314,퇴계원역,경춘선,일반역,
1315,사릉역,경춘선,일반역,
1316,금곡역,경춘선,일반역,
1317,평내호평역,경춘선,일반역,
1318,천마산역,경춘선,일반역,
1319,마석역,경춘선,일반역,
1320,대성리역,경춘선,일반역,
1321,청평역,경춘선,일반역,
1322,상천역,경춘선,일반역,
1323,가평역,경춘선,일반역,
1324,굴봉산역,경춘선,일반역,
1325,백양리역,경춘선,일반역,
1326,강촌역,경춘선,일반역,
1327,김유정역,경춘선,일반역,
1328,남춘천역,경춘선,일반역,
1329,춘천역,경춘선,일반역,
100,녹동,광주도시철도 1호선,일반역,
101,소태,광주도시철도 1호선,일반역,
102,학동증심사입구,광주도시철도 1호선,일반역,
103,남광주,광주도시철도 1호선,일반역,
104,문화전당(구도청),광주도시철도 1호선,일반역,
105,금남로4가,광주도시철도 1호선,일반역,
106,금남로5가,광주도시철도 1호선,일반역,
107,양동시장,광주도시철도 1호선,일반역,
108,돌고개,광주도시철도 1호선,일반역,
109,농성,광주도시철도 1호선,일반역,
110,화정,광주도시철도 1호선,일반역,
111,쌍촌,광주도시철도 1호선,일반역,
112,운천,광주도시철도 1호선,일반역,
113,상무,광주도시철도 1호선,일반역,
114,김대중컨벤션센터(마륵),광주도시철도 1호선,일반역,
115,공항,광주도시철도 1호선,일반역,
116,송정공원,광주도시철도 1호선,일반역,
117,광주송정역,광주도시철도 1호선,일반역,
118,도산,광주도시철도 1호선,일반역,
119,평동,광주도시철도 1호선,일반역,
G100,양촌역,김포골드라인,일반역,
G101,구래역,김포골드라인,일반역,
G102,마산역,김포골드라인,일반역,
G103,장기역,김포골드라인,일반역,
G104,운양역,김포골드라인,일반역,
G105,걸포북변역,김포골드라인,일반역,
G106,사우(김포시청)역,김포골드라인,일반역,
G107,풍무역,김포골드라인,일반역,
G108,고촌역,김포골드라인,일반역,
G109,김포공항역,김포골드라인,환승역,
0115,설화명곡,대구 도시철도 1호선,일반역,
0116,화원,대구 도시철도 1호선,일반역,
0117,"대 곡
(정부대구청사)",대구 도시철도 1호선,일반역,
0118,진 천,대구 도시철도 1호선,일반역,
0119,월 배,대구 도시철도 1호선,일반역,
0120,상 인,대구 도시철도 1호선,일반역,
0121,월 촌,대구 도시철도 1호선,일반역,
0122,송 현,대구 도시철도 1호선,일반역,
0123,"서부정류장
(관문시장)",대구 도시철도 1호선,일반역,
0124,대 명,대구 도시철도 1호선,일반역,
0125,안지랑,대구 도시철도 1호선,일반역,
0126,현충로,대구 도시철도 1호선,일반역,
0127,영대병원,대구 도시철도 1호선,일반역,
0128,교 대,대구 도시철도 1호선,일반역,
0129,"명 덕
(2.28민주운동기념회관)",대구 도시철도 1호선,환승역,대구도시철도1호선+대구도시철도3호선
0130,반월당,대구 도시철도 1호선,환승역,대구도시철도1호선+대구도시철도2호선
0131,중앙로,대구 도시철도 1호선,일반역,
0132,대구역,대구 도시철도 1호선,일반역,
0133,칠성시장,대구 도시철도 1호선,일반역,
0134,"신 천
(경북대입구)",대구 도시철도 1호선,일반역,
0135,동대구역,대구 도시철도 1호선,일반역,
0136,"동구청
(큰고개)",대구 도시철도 1호선,일반역,
0137,"아양교
(대구국제공항입구)",대구 도시철도 1호선,일반역,
0138,"동 촌
(동촌유원지)",대구 도시철도 1호선,일반역,
0139,해 안,대구 도시철도 1호선,일반역,
0140,방 촌,대구 도시철도 1호선,일반역,
0141,용 계,대구 도시철도 1호선,일반역,
0142,율 하,대구 도시철도 1호선,일반역,
0143,신 기,대구 도시철도 1호선,일반역,
0144,반야월,대구 도시철도 1호선,일반역,
0145,각 산,대구 도시철도 1호선,일반역,
0146,"안 심
(혁신도시 · 첨복단지)",대구 도시철도 1호선,일반역,
0216,문 양,대구 도시철도 2호선,일반역,
0217,다 사,대구 도시철도 2호선,일반역,
0218,대 실,대구 도시철도 2호선,일반역,
0219,강 창,대구 도시철도 2호선,일반역,
0220,계명대,대구 도시철도 2호선,일반역,
0221,성서산업단지,대구 도시철도 2호선,일반역,
0222,이 곡,대구 도시철도 2호선,일반역,
0223,"용 산
(서부법원․검찰청입구)",대구 도시철도 2호선,일반역,
0224,죽 전,대구 도시철도 2호선,일반역,
0225,감 삼,대구 도시철도 2호선,일반역,
0226,두 류,대구 도시철도 2호선,일반역,
0227,내 당,대구 도시철도 2호선,일반역,
0228,반고개,대구 도시철도 2호선,일반역,
0229,청라언덕,대구 도시철도 2호선,환승역,대구도시철도2호선+대구도시철도3호선
0230,반월당,대구 도시철도 2호선,환승역,대구도시철도2호선+대구도시철도1호선
0231,경대병원,대구 도시철도 2호선,일반역,
0232,"대구은행
(대구교육청)",대구 도시철도 2호선,일반역,
0233,범 어,대구 도시철도 2호선,일반역,
0234,"수성구청
(KBS)",대구 도시철도 2호선,일반역,
0235,만 촌,대구 도시철도 2호선,일반역,
0236,"담 티
(수성대 · 대륜)",대구 도시철도 2호선,일반역,
0237,연 호,대구 도시철도 2호선,일반역,
0238,"대공원
(삼성라이온즈파크)",대구 도시철도 2호선,일반역,
0239,고 산,대구 도시철도 2호선,일반역,
0240,신 매,대구 도시철도 2호선,일반역,
0241,사 월,대구 도시철도 2호선,일반역,
0242,정 평,대구 도시철도 2호선,일반역,
0243,임 당,대구 도시철도 2호선,일반역,
0244,영남대,대구 도시철도 2호선,일반역,
0312,칠곡경대병원,대구 도시철도 3호선,일반역,
0313,학 정,대구 도시철도 3호선,일반역,
0314,"팔 거(국립농관원
통계청)",대구 도시철도 3호선,일반역,
0315,동 천,대구 도시철도 3호선,일반역,
0316,칠곡운암,대구 도시철도 3호선,일반역,
